kepid,kepler_name,period,t0,duration_hrs,disposition,depth_ppm,duration_days
10797460,Kepler-227 b,9.48803557,170.53875,2.9575,CONFIRMED,615.8,0.12322916666666667
10797460,Kepler-227 c,54.4183827,162.51384,4.507,CONFIRMED,874.8,0.18779166666666666
10811496,,19.89913995,175.850252,1.7822,CANDIDATE,10829.0,0.07425833333333333
10848459,,1.736952453,170.307565,2.40641,FALSE POSITIVE,8079.2,0.10026708333333334
10854555,Kepler-664 b,2.525591777,171.59555,1.6545,CONFIRMED,603.3,0.0689375
10872983,Kepler-228 d,11.09432054,171.20116,4.5945,CONFIRMED,1517.5,0.1914375
10872983,Kepler-228 c,4.13443512,172.97937,3.1402,CONFIRMED,686.0,0.13084166666666666
10872983,Kepler-228 b,2.56658897,179.55437,2.429,CONFIRMED,226.5,0.10120833333333333
6721123,,7.36178958,132.25053,5.022,FALSE POSITIVE,233.7,0.20925000000000002
10910878,Kepler-229 c,16.06864674,173.621937,3.5347,CONFIRMED,4914.3,0.14727916666666666
11446443,Kepler-1 b,2.470613377,122.763305,1.74319,CONFIRMED,14230.9,0.07263291666666667
10666592,Kepler-2 b,2.204735417,121.3585417,3.88864,CONFIRMED,6674.7,0.16202666666666668
6922244,Kepler-8 b,3.522498429,121.1194228,3.19843,CONFIRMED,9145.7,0.13326791666666668
10984090,Kepler-466 c,3.709214104,133.98318,2.6302,CONFIRMED,131.1,0.10959166666666666
10419211,,11.521446064,170.839688,3.6399,FALSE POSITIVE,17984.3,0.1516625
10464078,,19.40393776,172.484253,12.2155,FALSE POSITIVE,8918.7,0.5089791666666666
10480982,,19.221388942,184.5521637,4.79843,FALSE POSITIVE,74284.0,0.19993458333333333
10485250,,16.46983774,180.881761,9.4378,FALSE POSITIVE,10478.9,0.39324166666666666
10526549,Kepler-660 b,9.27358173,173.258155,3.2875,CONFIRMED,1288.3,0.13697916666666668
10583066,Kepler-661 b,6.02930329,171.602959,1.5821,CONFIRMED,1912.7,0.06592083333333333
10583180,,2.696370652,170.73769,3.6129,FALSE POSITIVE,397.9,0.1505375
10601284,Kepler-226 c,5.349553819,171.80694,3.0278,CONFIRMED,831.0,0.12615833333333334
10601284,Kepler-226 b,3.94105221,136.08662,2.5984,CONFIRMED,363.3,0.10826666666666666
